[11dez2020 12:19:00.009] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, melebandeira, --version, 1.15.2-forge-31.2.47, --gameDir, C:\Users\Usuario\AppData\Roaming\.minecraft, --assetsDir, C:\Users\Usuario\AppData\Roaming\.minecraft\assets, --assetIndex, 1.15, --uuid, eebf49ce23c643e18b087ae26031aee3, --accessToken, ????????, --userType, mojang, --versionType, release, --launchTarget, fmlclient, --fml.forgeVersion, 31.2.47, --fml.mcVersion, 1.15.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20200515.085601]
[11dez2020 12:19:00.026] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 5.1.2+70+master.2845bb9 starting: java version 1.8.0_51 by Oracle Corporation
[11dez2020 12:19:00.405] [main/INFO] [net.minecraftforge.fml.loading.FixSSL/CORE]: Added Lets Encrypt root certificates as additional trust
[11dez2020 12:19:00.447] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.2 Source=file:/C:/Users/Usuario/AppData/Roaming/.minecraft/libraries/org/spongepowered/mixin/0.8.2/mixin-0.8.2.jar Service=ModLauncher Env=CLIENT
[11dez2020 12:19:02.561] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [voronoiaoc.byg.mixin.MixinConnector]
[11dez2020 12:19:02.594] [main/INFO] [voronoiaoc.byg.BYG/]: BYG: Mixin Connected!
[11dez2020 12:19:02.597] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'fmlclient' with arguments [--version, 1.15.2-forge-31.2.47, --gameDir, C:\Users\Usuario\AppData\Roaming\.minecraft, --assetsDir, C:\Users\Usuario\AppData\Roaming\.minecraft\assets, --uuid, eebf49ce23c643e18b087ae26031aee3, --username, melebandeira, --assetIndex, 1.15, --accessToken, ????????, --userType, mojang, --versionType, release]
[11dez2020 12:19:05.210] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Setting user: melebandeira
[11dez2020 12:19:14.287] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Backend library: LWJGL version 3.2.2 build 10
[11dez2020 12:19:15.647] [Render thread/INFO] [net.minecraftforge.registries.GameData/]: Potentially Dangerous alternative prefix `citadel` for name `debug`, expected `minecraft`. This could be a intended override, but in most cases indicates a broken mod.
[11dez2020 12:19:16.382] [modloading-worker-0/INFO] [Dungeon Crawl/]: Here we go! Launching Dungeon Crawl 2.2.1...
[11dez2020 12:19:16.386] [modloading-worker-1/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 31.2.47, for MC 1.15.2 with MCP 20200515.085601
[11dez2020 12:19:16.386] [modloading-worker-1/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v31.2.47 Initialized
[11dez2020 12:19:17.066] [modloading-worker-0/INFO] [STDOUT/]: [com.robertx22.mine_and_slash.mmorpg.MMORPG:<init>:105]: Starting Mine and Slash
[11dez2020 12:19:17.232] [modloading-worker-1/INFO] [voronoiaoc.byg.BYG/]: Loading config: C:\Users\Usuario\AppData\Roaming\.minecraft\config\byg-world-common.toml
[11dez2020 12:19:20.167] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dragon_multipart
[11dez2020 12:19:20.195] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity multipart
[11dez2020 12:19:20.199] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hydra_multipart
[11dez2020 12:19:20.202] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity cylcops_multipart
[11dez2020 12:19:20.202] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dragon_egg
[11dez2020 12:19:20.239] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dragon_arrow
[11dez2020 12:19:20.239] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dragon_skull
[11dez2020 12:19:20.451] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity fire_dragon
[11dez2020 12:19:20.454] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ice_dragon
[11dez2020 12:19:20.458] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity lightning_dragon
[11dez2020 12:19:20.458] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity fire_dragon_charge
[11dez2020 12:19:20.459] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ice_dragon_charge
[11dez2020 12:19:20.460] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity lightning_dragon_charge
[11dez2020 12:19:20.460] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hippogryph_egg
[11dez2020 12:19:20.470] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hippogryph
[11dez2020 12:19:20.470] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity stone_statue
[11dez2020 12:19:20.495] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity gorgon
[11dez2020 12:19:20.523] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity pixie
[11dez2020 12:19:20.529] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity cyclops
[11dez2020 12:19:20.541] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity siren
[11dez2020 12:19:20.573] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hippocampus
[11dez2020 12:19:20.591] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity deathworm
[11dez2020 12:19:20.591] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity deathworm_egg
[11dez2020 12:19:20.602] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity cockatrice
[11dez2020 12:19:20.603] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity cockatrice_egg
[11dez2020 12:19:20.641] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity stymphalian_bird
[11dez2020 12:19:20.642] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity stymphalian_feather
[11dez2020 12:19:20.642] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity stymphalian_arrow
[11dez2020 12:19:20.684] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity troll
[11dez2020 12:19:20.772] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_worker
[11dez2020 12:19:20.776] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_soldier
[11dez2020 12:19:20.820] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_sentinel
[11dez2020 12:19:20.833] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_royal
[11dez2020 12:19:20.837] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_queen
[11dez2020 12:19:20.837] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_egg
[11dez2020 12:19:20.957] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity amphithere
[11dez2020 12:19:20.959] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity amphithere_arrow
[11dez2020 12:19:21.006] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity sea_serpent
[11dez2020 12:19:21.007] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity sea_serpent_bubbles
[11dez2020 12:19:21.007] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity sea_serpent_arrow
[11dez2020 12:19:21.008] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity chain_tie
[11dez2020 12:19:21.009] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity pixie_charge
[11dez2020 12:19:21.013] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity myrmex_swarmer
[11dez2020 12:19:21.014] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity tide_trident
[11dez2020 12:19:21.015] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity mob_skull
[11dez2020 12:19:21.122] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_thrall
[11dez2020 12:19:21.122] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_ghoul
[11dez2020 12:19:21.123] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_beast
[11dez2020 12:19:21.124] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_scuttler
[11dez2020 12:19:21.161] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_lich
[11dez2020 12:19:21.162] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_lich_skull
[11dez2020 12:19:21.195] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_knight
[11dez2020 12:19:21.196] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dread_horse
[11dez2020 12:19:21.202] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hydra
[11dez2020 12:19:21.203] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hydra_breath
[11dez2020 12:19:21.204] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity hydra_arrow
[11dez2020 12:19:21.253] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ghost
[11dez2020 12:19:21.255] [modloading-worker-3/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ghost_sword
[11dez2020 12:19:21.506] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity arisaur
[11dez2020 12:19:21.511] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity reiver
[11dez2020 12:19:21.518] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity vespidqueen
[11dez2020 12:19:21.520] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity lacedon
[11dez2020 12:19:21.600] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity barghest
[11dez2020 12:19:21.605] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity kobold
[11dez2020 12:19:21.626] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity chupacabra
[11dez2020 12:19:21.631] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity cacodemon
[11dez2020 12:19:21.633] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity arix
[11dez2020 12:19:21.635] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity skylus
[11dez2020 12:19:21.641] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity wendigo
[11dez2020 12:19:21.646] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity maug
[11dez2020 12:19:21.649] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity crusk
[11dez2020 12:19:21.654] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity concapede
[11dez2020 12:19:21.666] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity uvaraptor
[11dez2020 12:19:21.686] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ghoul
[11dez2020 12:19:21.694] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity manticore
[11dez2020 12:19:21.766] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity astaroth
[11dez2020 12:19:21.803] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity thresher
[11dez2020 12:19:21.825] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity geist
[11dez2020 12:19:21.828] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity aglebemu
[11dez2020 12:19:21.830] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity eyewig
[11dez2020 12:19:21.833] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity khalk
[11dez2020 12:19:21.837] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity joust
[11dez2020 12:19:21.915] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity zoataur
[11dez2020 12:19:21.917] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity gorgomite
[11dez2020 12:19:21.923] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity serpix
[11dez2020 12:19:21.926] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity spectre
[11dez2020 12:19:21.929] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity vespid
[11dez2020 12:19:21.932] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity warg
[11dez2020 12:19:21.934] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity cryptkeeper
[11dez2020 12:19:21.937] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity abtu
[11dez2020 12:19:21.942] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ettin
[11dez2020 12:19:21.944] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity behemoth
[11dez2020 12:19:21.967] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dawon
[11dez2020 12:19:21.969] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity morock
[11dez2020 12:19:21.972] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity shambler
[11dez2020 12:19:21.974] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity lurker
[11dez2020 12:19:21.976] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity afrit
[11dez2020 12:19:21.979] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity beholder
[11dez2020 12:19:21.982] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity jabberwock
[11dez2020 12:19:21.992] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity lobber
[11dez2020 12:19:21.995] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity troll
[11dez2020 12:19:22.009] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity geken
[11dez2020 12:19:22.015] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity strider
[11dez2020 12:19:22.016] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity wraith
[11dez2020 12:19:22.052] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity quillbeast
[11dez2020 12:19:22.055] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity clink
[11dez2020 12:19:22.060] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity archvile
[11dez2020 12:19:22.063] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ika
[11dez2020 12:19:22.066] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity herma
[11dez2020 12:19:22.072] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity treant
[11dez2020 12:19:22.075] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity reaper
[11dez2020 12:19:22.078] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity raiko
[11dez2020 12:19:22.081] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity grue
[11dez2020 12:19:22.083] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity silex
[11dez2020 12:19:22.085] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity quetzodracl
[11dez2020 12:19:22.087] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity wildkin
[11dez2020 12:19:22.114] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity aspid
[11dez2020 12:19:22.119] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity pinky
[11dez2020 12:19:22.123] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity dweller
[11dez2020 12:19:22.126] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity gorger
[11dez2020 12:19:22.128] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity sutiramu
[11dez2020 12:19:22.133] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity banshee
[11dez2020 12:19:22.136] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity shade
[11dez2020 12:19:22.141] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity krake
[11dez2020 12:19:22.143] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity erepede
[11dez2020 12:19:22.168] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity volcan
[11dez2020 12:19:22.175] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity yale
[11dez2020 12:19:22.178] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity yeti
[11dez2020 12:19:22.181] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity darkling
[11dez2020 12:19:22.184] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity epion
[11dez2020 12:19:22.186] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity ioray
[11dez2020 12:19:22.189] [modloading-worker-2/WARN] [net.minecraft.entity.EntityType/]: No data fixer registered for entity jengu
